1;-20
60;76
-78;87
30;-95
-32;78
-68;18
4;-74
-100;39
68;-90
68;22
84;-8
-21;-76
38;-85
93;50
-44;-88
-93;9
69;28
86;-63
-26;28
73;-29
-51;-74
92;-23
84;34
98;-4
3;58
-15;64
62;-71
-80;97
-79;12
-34;-58
-50;41
-57;35
16;6
-10;13
96;-34
-50;54
50;47
37;90
34;-96
-60;-15
57;29
-27;23
-38;-22
27;-90
14;-83
7;-59
-79;-55
-60;-17
34;84
-32;54
-45;-91
-64;18
62;-95
-81;53
75;14
7;-55
53;38
14;37
8;-16
48;-86
-50;-97
-100;30
13;-24
-9;1
28;88
-51;-78
31;62
-38;9
-44;-26
-66;3
1;24
11;-53
-7;-41
-28;21
2;-39
-7;-46
-63;-21
26;-94
68;1
-83;-80
15;18
-36;25
-53;42
49;-41
-86;-27
-78;-6
84;-59
81;-83
7;-1
38;61
-31;-32
-16;-63
-14;-70
-25;86
92;84
94;75
-40;-6
56;88
54;-11
-86;-23
-1;74
-77;40
95;-45
-95;78
-72;-33
71;49
61;-17
-41;70
-58;-7
-10;-45
-57;10
84;-69
-18;39
-34;21
26;-45
55;-70
-17;-19
46;33
-82;-39
-25;13
-36;22
-93;79
-57;86
-54;-74
87;-8
96;-65
-45;-77
54;-18
6;-28
71;-80
-12;53
-86;6
-38;85
-79;18
-5;-14
98;-45
-13;-13
-16;-51
76;-28
51;74
-64;-3
-19;-98
-82;46
28;57
59;-40
-16;37
-61;35
76;45
-2;-77
-59;-54
-91;-89
36;10
3;96
39;66
28;-46
-87;38
-97;78
97;89
-51;35
3;-29
90;-26
48;90
-98;-4
93;-93
21;17
-24;-35
-73;73
-56;-50
-64;-50
-69;32
51;-61
-97;-50
-16;51
-35;-11
-60;0
97;72
-48;91
64;-74
-35;-78
-46;32
-31;-96
77;-82
-44;24
-79;28
-19;78
-50;-37
74;15
63;-31
66;-57
-66;28
31;12
-54;-93
8;-56
37;15
-33;80
43;89
43;-61
33;-63
-52;4
58;-40
