-22;46
-12;-84
48;-12
8;-8
4;-92
89;33
-72;36
23;-46
4;32
-21;-54
-21;-36
17;39
21;16
65;-1
-50;12
82;55
6;-5
-59;-71
-88;57
73;29
-23;-60
59;92
-80;-44
85;31
-42;84
16;-16
-41;-1
1;-65
-84;-61
1;-11
-79;14
81;-64
91;-60
99;-38
68;-53
78;54
-3;65
-94;-74
46;58
54;-24
-96;78
-99;92
-30;73
42;30
93;98
46;67
-74;-3
9;55
-69;39
-62;-60
-80;9
59;-94
-53;-50
-27;-41
-2;15
-60;5
75;-2
-81;-34
19;-57
88;25
68;-10
-43;-96
-45;11
-58;-77
79;-73
71;-29
-89;-44
-46;-88
-75;6
-53;-93
-51;14
76;7
50;-42
-4;25
-40;-16
74;60
-23;-26
-30;94
31;-59
92;-41
-18;-60
-93;28
-70;65
20;-52
-91;-14
75;66
-4;80
-66;-60
-41;-44
86;-52
27;-59
38;1
-93;7
-9;82
-54;-18
-69;-42
-27;-75
9;-29
87;-4
15;-24
-77;-38
42;-24
41;52
-2;-71
-54;26
49;44
-70;34
-39;11
-6;62
7;92
-56;19
-24;-80
50;80
-83;7
-56;-19
66;1
33;-95
75;-20
85;-72
33;-71
-93;68
-49;78
26;-18
-77;-77
-45;23
-10;-98
-20;68
72;-35
-24;-78
98;-96
80;-22
77;37
68;-14
-75;76
-86;78
84;-51
86;-19
-38;-100
46;-45
-26;-55
-68;-54
12;-31
67;-26
47;20
86;69
-38;10
12;-8
81;92
87;99
11;-29
-45;33
-70;26
62;87
87;-5
-90;-74
63;13
33;81
-82;-39
-71;-31
72;62
-58;5
-64;-28
22;-20
-66;31
-46;-38
9;-12
20;46
-8;42
85;6
92;53
35;77
-14;28
58;19
76;85
33;64
-98;26
-16;34
10;-18
-67;-27
57;-81
-8;-33
25;90
58;94
-77;82
96;-63
-9;33
-32;45
64;21
60;28
-12;-88
45;2
25;55
-86;60
96;84
79;-47
-35;-63
86;78
-24;49
91;-70
85;65
